experiment,ion,filename,area
6,malate M0,M52,438875959.84844899
6,malate M0,M53,451501169.31706703
6,malate M0,M54,463983986.41325301
6,malate M1,M51,20781286.125905
6,malate M1,M52,20682908.681671001
6,malate M1,M53,20927201.356874999
6,malate M1,M54,21889898.121860798
6,citrate M0,M51,9537163.58269706
6,citrate M0,M52,9361284.8859860804
6,citrate M0,M53,8736836.2375485208
6,citrate M0,M54,8869462.7520959992
6,citrate M1,M51,667413.96827655903
6,citrate M1,M52,686333.44200745795
6,citrate M1,M53,646431.71579129098
6,citrate M1,M54,567969.78701510897
7,pyruvate M0,M61,NA
7,pyruvate M0,M62,NA
7,pyruvate M0,M63,NA
7,pyruvate M0,M64,NA
7,pyruvate M1,M61,NA
7,pyruvate M1,M62,NA
7,pyruvate M1,M63,NA
7,pyruvate M1,M64,NA
7,lactate M0,M61,NA
7,lactate M0,M62,NA
7,lactate M0,M63,NA
7,lactate M0,M64,NA
7,lactate M1,M61,NA
7,lactate M1,M62,NA
7,lactate M1,M63,NA
7,lactate M1,M64,NA
7,alanine M0,M61,NA
7,alanine M0,M62,NA
7,alanine M0,M63,NA
7,alanine M0,M64,NA
7,alanine M1,M61,NA
7,alanine M1,M62,NA
7,alanine M1,M63,NA
7,alanine M1,M64,NA
7,glutamine M0,M61,258700926.21780199
7,glutamine M0,M62,259615026.69911399
7,glutamine M0,M63,259371414.89989001
7,glutamine M0,M64,257620304.689962
7,glutamine M1,M61,NA
7,glutamine M1,M62,NA
7,glutamine M1,M63,NA
7,glutamine M1,M64,NA
7,glutamate M0,M61,246747781.06656101
7,glutamate M0,M62,254684616.35967401
7,glutamate M0,M63,256311587.30404499
7,glutamate M0,M64,249625161.40345499
7,glutamate M1,M61,NA
7,glutamate M1,M62,NA
7,glutamate M1,M63,NA
7,glutamate M1,M64,NA
7,serine M0,M61,NA
7,serine M0,M62,NA
7,serine M0,M63,NA
7,serine M0,M64,NA
7,serine M1,M61,NA
7,serine M1,M62,NA
7,serine M1,M63,NA
7,serine M1,M64,NA
7,aspartate M0,M61,77365852.490568802
7,aspartate M0,M62,77535790.057995901
7,aspartate M0,M63,78019302.163414806
7,aspartate M0,M64,78023733.297902197
7,aspartate M1,M61,NA
7,aspartate M1,M62,NA
7,aspartate M1,M63,NA
7,aspartate M1,M64,NA
7,2HG M0,M61,460291842.340339
7,2HG M0,M62,442465812.63318801
7,2HG M0,M63,447027270.06643301
7,2HG M0,M64,447543797.34424901
7,2HG M1,M61,NA
7,2HG M1,M62,NA
7,2HG M1,M63,NA
7,2HG M1,M64,NA
7,succinate M0,M61,NA
7,succinate M0,M62,NA
7,succinate M0,M63,NA
7,succinate M0,M64,NA
7,succinate M1,M61,NA
7,succinate M1,M62,NA
7,succinate M1,M63,NA
7,succinate M1,M64,NA
7,2OG M0,M61,173415692.000332
7,2OG M0,M62,175133263.81545901
7,2OG M0,M63,174661195.333709
7,2OG M0,M64,177042258.85721901
7,2OG M1,M61,3010196.0127074402
7,2OG M1,M62,2819489.15493797
7,2OG M1,M63,2927255.95365556
7,2OG M1,M64,3006341.6513192002
7,malate M0,M61,NA
7,malate M0,M62,NA
7,malate M0,M63,NA
7,malate M0,M64,NA
7,malate M1,M61,NA
7,malate M1,M62,NA
7,malate M1,M63,NA
7,malate M1,M64,NA
7,citrate M0,M61,9029900.4451350309
7,citrate M0,M62,8867945.9579710606
7,citrate M0,M63,8480833.3315099701
7,citrate M0,M64,8585400.2496487703
7,citrate M1,M61,669261.19653866696
7,citrate M1,M62,612333.27595813002
7,citrate M1,M63,588416.60090563295
7,citrate M1,M64,617921.08846263902
